Ackroyd, Peter
Aczel, Amir
Archer, Jeffery
Bach, Richard
Baz-Zohar, Michael
BBC
Bell, E T
Bodanis, David
Bradsky, Gary
Braithwaite
Brown, Dan
Camus, Albert
Capra, Fritjof
Conway, Drew
Corbett, Jim
Cormen, Thomas
Crichton, Michael
Dalrymple, William
Dawkins, Richard
Deb, Siddhartha
Deshpande P L
Deshpande, P L
Deshpande, Sunita
Devlin, Keith
Dickens, Charles
Dickinson, Peter
Dostoevsky, Fyodor
Downey, Allen
Doyle, Arthur Conan
Drucker, Peter
Dubner, Stephen
Duda, Hart
Durant, Will
Durrell, Gerald
Dylan, Bob
Eddins, Steve
Eraly, Abraham
Feynman, Richard
Fisk, Robert
Follett, Ken
Foreman, John
Forsyth, David
Forsyth, Frederick
Franco, Sergio
Friedman, Thomas
Gardner, Earle Stanley
Garg, Sanjay
Ghosh, Amitav
Gleick, James
Gordon, Richard
Goswami, Jaideva
Greene, W. H.
Grisham, John
Gupta, Madan
Hansberry, Lorraine
Harris, Sam
Hawking, Stephen
Haykin, Simon
Heisenberg, Werner
Heller, Joseph
Hemingway, Ernest
Hitler, Adolf
Hugo, Victor
Huntington, Samuel
Huxley, Aldous
Iacoca, Lee
Janert, Phillip
Kafka, Frank
Kale, V P
Kanetkar, Yashwant
Kautiyla
Konnikova, Maria
Lapierre, Dominique
Larsson, Steig
Machiavelli
Maugham, William S
McKinney, Wes
Menon, V P
Mlodinow, Leonard
Mohan, Ned
Naipaul, V S
Naipaul, V. S.
Nariman
Nayar, Kuldip
Nehru, Jawaharlal
Nisbet, Robert
Oram, Andy
Orwell, George
Palkhivala
Pausch, Randy
Pirsig, Robert
Poe, Edgar Allen
Pratt, John
Rand, Ayn
Ranjan, Sudhanshu
Rashid, Muhammad
Raymond, Eric
Rowling, J K
Russell, Bertrand
Rutherford, Alex
Sagan, Carl
Said, Edward
Sassoon, Jean
Sebastian Gutierrez
Sen, Amartya
Shih, Frank
Silver, Nate
Singh, Simon
Smith, Adam
Sorabjee
Steinbeck, John
Stonier, Alfred
Stroud, Jonathan
Sussman, Gerald
Tanenbaum, Andrew
Tao, Terence
Taub, Schilling
Tharoor, Shashi
Thomas, Joy
Vapnik, Vladimir
Various
Verne, Jules
Villani, Cedric
Vonnegut, Kurt
Wells, H G
Wells, H. G.
West, Morris
Woodward, Bob
Zaidi, Hussain
