item_id,isbn,item_name,author,genre,publisher,item_type,price,description
1,147492343-7,Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,Wiley,3,$13.39,"Badger, european"
2,347134497-7,Data Smart,"Foreman, John",data_science,Wiley,3,$54.40,"Capuchin, brown"
3,825681833-6,God Created the Integers,"Hawking, Stephen",mathematics,Penguin,3,$57.96,Hippopotamus
4,032125405-8,Superfreakonomics,"Dubner, Stephen",economics,HarperCollins,3,$30.34,Brown brocket
5,275909620-3,Orientalism,"Said, Edward",history,Penguin,1,$45.03,"Peccary, white-lipped"
6,266783088-1,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,Springer,2,$54.79,Tiger cat
7,796068558-4,Integration of the Indian States,"Menon, V P",history,Orient Blackswan,3,$32.18,Galah
8,248433300-5,"Drunkard's Walk, The","Mlodinow, Leonard",science,Penguin,1,$4.63,White-browed owl
9,269453184-9,Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,CRC,1,$88.58,"Baboon, chacma"
10,881300662-4,How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,Penguin,2,$31.71,Savanna fox
11,661264940-2,Data Scientists at Work,Sebastian Gutierrez,data_science,Apress,1,$20.41,"Cormorant, king"
12,903580343-4,Slaughterhouse Five,"Vonnegut, Kurt",fiction,Random House,2,$14.23,Carpet python
13,081414313-X,Birth of a Theorem,"Villani, Cedric",mathematics,Bodley Head,1,$47.64,"Sheep, red"
14,923281848-5,Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,MIT Press,2,$25.89,"Phalarope, red"
15,146978427-0,"Age of Wrath, The","Eraly, Abraham",history,Penguin,1,$28.79,"Egret, cattle"
16,598516422-5,"Trial, The","Kafka, Frank",fiction,Random House,3,$69.82,Anaconda (unidentified)
17,201257219-7,Statistical Decision Theory',"Pratt, John",data_science,MIT Press,1,$25.56,"Egret, snowy"
18,207240514-9,Data Mining Handbook,"Nisbet, Robert",data_science,Apress,3,$58.04,"Dragon, asian water"
19,490234908-6,"New Machiavelli, The","Wells, H. G.",fiction,Penguin,1,$22.92,"Mongoose, yellow"
20,154234031-4,Physics & Philosophy,"Heisenberg, Werner",science,Penguin,1,$84.75,Lesser masked weaver
21,596231032-2,Making Software,"Oram, Andy",computer_science,O'Reilly,1,$38.06,Golden eagle
