order_id,inventory_id,customer_id,quantity,source
1,910,287,6,Reactive
2,268,750,5,protocol
3,781,151,10,Programmable
4,98,387,10,monitoring
5,39,257,6,challenge
6,481,25,3,installation
7,130,337,6,Multi-tiered
8,162,401,5,matrices
9,927,633,4,help-desk
10,570,52,1,context-sensitive
11,317,248,10,clear-thinking
12,319,681,7,Open-source
13,542,826,1,structure
14,624,242,3,fresh-thinking
15,296,903,2,projection
16,69,801,3,info-mediaries
17,595,479,7,static
18,121,48,10,zero defect
19,413,274,10,Focused
20,965,698,2,Synchronised
21,445,699,6,Cross-group
22,621,502,5,standardization
23,885,52,6,model
24,401,934,8,matrices
25,366,699,5,logistical
26,492,137,1,open system
27,213,254,3,Object-based
28,194,474,1,collaboration
29,784,978,3,challenge
30,317,677,3,bifurcated
31,225,754,6,knowledge user
32,76,927,6,actuating
33,870,279,1,neural-net
34,233,321,10,zero defect
35,912,248,6,bi-directional
36,794,882,6,capability
37,254,326,2,Operative
38,701,773,7,Open-architected
39,784,719,1,extranet
40,953,507,9,Expanded
41,890,356,6,Switchable
42,877,966,8,intermediate
43,967,568,3,internet solution
44,344,162,4,Digitized
45,825,918,9,Horizontal
46,493,732,9,encryption
47,441,574,6,Organized
48,999,808,3,Function-based
49,701,112,3,task-force
50,873,287,8,contextually-based
51,97,863,5,stable
52,40,950,3,artificial intelligence
53,338,764,4,Persistent
54,117,639,7,content-based
55,707,225,2,well-modulated
56,369,790,9,orchestration
57,233,44,2,Universal
58,335,892,9,local area network
59,536,185,3,user-facing
60,443,986,7,logistical
61,55,658,1,client-server
62,726,91,9,system engine
63,137,69,2,logistical
64,189,126,5,motivating
65,702,73,9,Down-sized
66,909,986,1,protocol
67,569,459,3,Pre-emptive
68,199,962,3,system engine
69,24,171,4,Synchronised
70,239,971,7,infrastructure
71,411,334,10,Organic
72,212,317,7,leading edge
73,579,75,7,user-facing
74,778,106,9,Advanced
75,993,228,7,concept
76,332,689,4,Centralized
77,360,397,6,database
78,121,848,8,Integrated
79,134,48,9,website
80,484,574,8,groupware
81,916,486,3,budgetary management
82,237,404,8,analyzing
83,646,640,9,challenge
84,761,676,2,info-mediaries
85,540,727,2,open architecture
86,598,204,10,ability
87,267,738,7,Inverse
88,448,305,5,exuding
89,355,541,10,empowering
90,554,710,10,static
91,940,84,1,Reduced
92,215,85,7,dynamic
93,407,361,5,success
94,863,37,2,Robust
95,356,563,7,Upgradable
96,347,159,3,eco-centric
97,447,846,9,maximized
98,384,179,2,Reverse-engineered
99,272,638,6,Programmable
100,179,168,7,optimizing
101,902,465,5,Pre-emptive
102,305,475,7,background
103,238,825,5,optimizing
104,231,977,3,solution-oriented
105,924,655,3,context-sensitive
106,517,13,8,database
107,53,438,2,encompassing
108,131,500,1,Focused
109,692,344,1,Enhanced
110,473,894,5,analyzing
111,709,194,2,Secured
112,264,676,3,product
113,278,336,7,leverage
114,269,61,4,infrastructure
115,400,172,5,bottom-line
116,819,417,8,24/7
117,257,232,4,Seamless
118,192,924,5,emulation
119,522,676,9,contextually-based
120,241,585,10,Persevering
121,360,271,6,monitoring
122,446,546,8,Reverse-engineered
123,628,730,3,value-added
124,56,453,7,middleware
125,275,533,5,framework
126,398,371,6,pricing structure
127,459,297,6,Face to face
128,26,50,7,Down-sized
129,441,794,1,asynchronous
130,607,395,3,hub
131,329,338,7,User-centric
132,59,685,3,challenge
133,735,584,6,Front-line
134,718,208,1,real-time
135,34,314,3,scalable
136,176,579,8,capacity
137,8,86,6,real-time
138,699,34,1,Multi-channelled
139,358,171,3,Cross-group
140,449,484,7,24 hour
141,734,912,2,workforce
142,682,502,5,intranet
143,969,203,8,Down-sized
144,629,891,5,systematic
145,680,91,8,Seamless
146,29,795,5,time-frame
147,449,466,4,Front-line
148,64,791,5,Future-proofed
149,773,304,9,next generation
150,926,83,9,workforce
151,966,640,5,Right-sized
152,570,259,7,portal
153,496,289,5,Front-line
154,95,183,2,De-engineered
155,152,872,1,forecast
156,733,198,4,Customer-focused
157,51,377,5,De-engineered
158,742,545,1,transitional
159,752,328,5,grid-enabled
160,384,216,4,Seamless
161,68,941,6,hardware
162,604,901,7,product
163,378,929,6,zero administration
164,988,615,5,holistic
165,842,291,4,solution-oriented
166,469,951,1,motivating
167,686,861,1,Universal
168,14,325,8,algorithm
169,559,575,6,transitional
170,327,899,6,toolset
171,911,484,1,Monitored
172,334,815,7,hardware
173,288,566,8,paradigm
174,28,351,2,system-worthy
175,980,268,4,zero defect
176,554,54,8,encompassing
177,639,227,3,Exclusive
178,794,204,3,standardization
179,459,535,10,Progressive
180,190,765,9,capacity
181,531,270,1,Customer-focused
182,32,711,7,data-warehouse
183,975,583,5,Face to face
184,144,63,10,human-resource
185,913,781,6,superstructure
186,456,26,3,Upgradable
187,383,139,2,Secured
188,754,78,10,circuit
189,967,364,4,Multi-lateral
190,15,831,3,flexibility
191,498,499,5,complexity
192,815,442,9,help-desk
193,796,698,3,focus group
194,917,177,9,infrastructure
195,109,566,9,forecast
196,221,287,3,Mandatory
197,87,717,2,De-engineered
198,310,898,8,24 hour
199,76,936,3,parallelism
200,557,640,9,groupware
