transaction_id,customer_id,order_id,payment_method,amount_paid
1,905,777,jcb,$21.48
2,76,885,china-unionpay,$16.41
3,994,115,americanexpress,$33.71
4,385,416,maestro,$33.11
5,474,247,laser,$20.58
6,351,57,diners-club-enroute,$4.97
7,131,138,bankcard,$28.09
8,735,383,laser,$42.27
9,695,405,jcb,$8.58
10,49,4,jcb,$45.91
11,169,249,jcb,$8.02
12,497,945,maestro,$14.85
13,550,549,jcb,$23.18
14,910,22,visa-electron,$20.45
15,91,527,laser,$32.06
16,16,543,mastercard,$6.69
17,819,24,jcb,$27.12
18,104,67,jcb,$25.04
19,474,715,switch,$40.31
20,556,383,jcb,$14.12
21,554,282,switch,$46.64
22,514,438,diners-club-enroute,$45.29
23,841,790,maestro,$27.52
24,72,732,jcb,$49.67
25,653,129,jcb,$20.05
26,481,994,jcb,$36.48
27,347,989,jcb,$28.30
28,154,408,jcb,$40.68
29,39,307,laser,$47.90
30,153,882,instapayment,$36.43
31,949,587,diners-club-us-ca,$41.62
32,629,125,visa-electron,$26.17
33,700,818,bankcard,$19.42
34,127,977,mastercard,$49.34
35,343,825,jcb,$32.92
36,817,845,jcb,$12.03
37,78,538,jcb,$28.80
38,383,699,jcb,$46.66
39,839,101,jcb,$24.05
40,886,530,diners-club-carte-blanche,$11.33
41,809,165,diners-club-carte-blanche,$18.03
42,851,405,bankcard,$10.78
43,917,475,bankcard,$11.91
44,207,46,jcb,$14.68
45,943,508,jcb,$23.34
46,997,122,jcb,$29.09
47,276,915,jcb,$39.84
48,452,297,jcb,$7.81
49,897,183,visa-electron,$47.11
50,748,892,jcb,$10.81
51,227,5,instapayment,$31.88
52,10,988,jcb,$38.45
53,117,541,maestro,$25.33
54,403,477,jcb,$42.09
55,920,334,jcb,$37.48
56,758,158,jcb,$40.19
57,689,842,jcb,$35.50
58,202,447,laser,$22.25
59,584,295,diners-club-enroute,$27.79
60,358,733,mastercard,$13.98
61,837,749,jcb,$22.53
62,791,205,mastercard,$40.09
63,658,361,mastercard,$49.34
64,255,567,jcb,$17.22
65,817,121,diners-club-carte-blanche,$46.83
66,986,976,instapayment,$40.12
67,190,493,jcb,$30.43
68,153,934,bankcard,$41.16
69,990,52,americanexpress,$39.54
70,930,835,jcb,$13.43
71,433,88,solo,$30.72
72,160,338,visa,$43.73
73,932,913,laser,$5.72
74,935,647,americanexpress,$13.56
75,824,628,china-unionpay,$35.25
76,77,433,instapayment,$25.92
77,777,699,jcb,$32.94
78,51,907,jcb,$44.15
79,24,138,visa-electron,$5.17
80,80,443,laser,$41.86
81,465,903,laser,$39.79
82,793,803,jcb,$20.54
83,499,697,jcb,$13.54
84,324,954,china-unionpay,$27.34
85,208,509,visa-electron,$11.09
86,851,803,switch,$19.68
87,842,935,solo,$11.77
88,977,408,jcb,$39.06
89,12,499,maestro,$43.40
90,68,259,china-unionpay,$21.18
91,794,9,jcb,$28.10
92,334,670,jcb,$35.79
93,737,238,switch,$20.98
94,606,61,jcb,$12.56
95,771,79,maestro,$42.53
96,941,932,bankcard,$43.08
97,83,989,switch,$31.11
98,653,203,jcb,$39.44
99,412,604,instapayment,$22.83
100,101,609,maestro,$46.37
101,690,262,jcb,$3.19
102,271,905,diners-club-enroute,$24.90
103,164,866,visa,$13.37
104,295,302,jcb,$25.55
